onset	duration	trial_type	modulation
8.0	1.5	task	1.115
18.2	1.5	task	2.139
28.1	1.5	task	1.024
38.7	1.5	task	1.875
49.8	1.5	task	2.697
59.9	1.5	task	1.634
67.8	1.5	task	2.320
78.1	1.5	task	2.881
90.4	1.5	task	1.894
103.1	1.5	task	0.592
113.1	1.5	task	1.328
123.5	1.5	task	2.364
131.4	1.5	task	1.152
138.4	1.5	task	2.289
150.1	1.5	task	1.231
158.6	1.5	task	1.652
166.1	1.5	task	0.623
174.4	1.5	task	3.372
182.8	1.5	task	0.642
192.4	1.5	task	3.257
204.2	1.5	task	1.182
211.5	1.5	task	1.624
219.6	1.5	task	1.128
229.6	1.5	task	2.089
238.5	1.5	task	3.417
248.9	1.5	task	1.642
261.4	1.5	task	0.606
273.1	1.5	task	1.594
283.3	1.5	task	1.313
290.3	1.5	task	1.560
301.0	1.5	task	1.212
308.2	1.5	task	0.647
316.6	1.5	task	1.856
327.0	1.5	task	2.767
336.9	1.5	task	1.806
346.1	1.5	task	0.838
