onset	duration	trial_type
7.8	1.5	task
18.9	1.5	task
27.1	1.5	task
37.4	1.5	task
50.0	1.5	task
61.7	1.5	task
73.8	1.5	task
86.5	1.5	task
95.1	1.5	task
103.0	1.5	task
113.6	1.5	task
126.1	1.5	task
133.4	1.5	task
141.9	1.5	task
154.6	1.5	task
166.0	1.5	task
177.7	1.5	task
186.0	1.5	task
193.6	1.5	task
204.3	1.5	task
211.5	1.5	task
224.2	1.5	task
235.0	1.5	task
247.7	1.5	task
259.9	1.5	task
272.0	1.5	task
283.5	1.5	task
291.0	1.5	task
301.8	1.5	task
312.6	1.5	task
325.4	1.5	task
336.6	1.5	task
348.7	1.5	task
361.6	1.5	task
