topic,category,rank,paper_key,short_citation,title,authors,year,venue,paper_type,role_in_topic,source_or_lookup_url,confidence,notes
EEG,measurement,1,EEGLAB_2004,Delorme & Makeig (2004),EEGLAB: an open source toolbox for analysis of single-trial EEG dynamics,Delorme & Makeig,2004,Journal of Neuroscience Methods,EEG pipeline / toolbox,primary anchor / canonical method or dataset,https://doi.org/10.1016/j.jneumeth.2003.10.009,high,
EEG,measurement,2,PREP_2015,Bigdely-Shamlo et al. (2015),The PREP pipeline: standardized preprocessing for large-scale EEG analysis,Bigdely-Shamlo et al.,2015,Frontiers in Neuroinformatics,EEG preprocessing pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.3389/fninf.2015.00016,high,
EEG,measurement,3,FieldTrip_2011,Oostenveld et al. (2011),"FieldTrip: Open source software for advanced analysis of MEG, EEG, and invasive electrophysiological data",Oostenveld et al.,2011,Computational Intelligence and Neuroscience,M/EEG pipeline / toolbox,"validation, caveat, or task template",https://doi.org/10.1155/2011/156869,high,
EEG,measurement,4,MNEPython_2013,Gramfort et al. (2013),MEG and EEG data analysis with MNE-Python,Gramfort et al.,2013,Frontiers in Neuroscience,M/EEG pipeline / Python,robustness / evaluation / cross-topic bridge,https://doi.org/10.3389/fnins.2013.00267,high,
EEG,measurement,5,COBIDAS_MEEG_2020,Pernet et al. (2020),Issues and recommendations from the OHBM COBIDAS MEEG committee for reproducible EEG and MEG research,Pernet et al.,2020,Nature Neuroscience,M/EEG reproducibility guideline,additional pipeline/dataset/reference,https://doi.org/10.1038/s41593-020-00709-0,medium,
EEG,measurement,6,Gemein_2020,Gemein et al. (2020),Machine-learning-based diagnostics of EEG pathology,Gemein et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117021,medium,auto 2020+; verify
EEG,measurement,7,Shoeibi_2021,Shoeibi et al. (2021),Automatic Diagnosis of Schizophrenia in EEG Signals Using CNN-LSTM Models,Shoeibi et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2021.777977,medium,auto 2020+; verify
EEG,measurement,8,Miao_2023,Miao et al. (2023),LMDA-Net:A lightweight multi-dimensional attention network for general EEG-based brain-computer interfaces and interpretability,Miao et al.,2023,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2023.120209,medium,auto 2020+; verify
MEG,measurement,1,FieldTrip_2011,Oostenveld et al. (2011),"FieldTrip: Open source software for advanced analysis of MEG, EEG, and invasive electrophysiological data",Oostenveld et al.,2011,Computational Intelligence and Neuroscience,M/EEG pipeline / toolbox,primary anchor / canonical method or dataset,https://doi.org/10.1155/2011/156869,high,
MEG,measurement,2,MNEPython_2013,Gramfort et al. (2013),MEG and EEG data analysis with MNE-Python,Gramfort et al.,2013,Frontiers in Neuroscience,M/EEG pipeline / Python,"pipeline, benchmark, or second anchor",https://doi.org/10.3389/fnins.2013.00267,high,
MEG,measurement,3,MNE_2014,Gramfort et al. (2014),MNE software for processing MEG and EEG data,Gramfort et al.,2014,NeuroImage,M/EEG software suite,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2013.10.027,medium,
MEG,measurement,4,Brainstorm_2011,Tadel et al. (2011),Brainstorm: A user-friendly application for MEG/EEG analysis,Tadel et al.,2011,Computational Intelligence and Neuroscience,M/EEG pipeline / GUI,robustness / evaluation / cross-topic bridge,https://doi.org/10.1155/2011/879716,high,
MEG,measurement,5,COBIDAS_MEEG_2020,Pernet et al. (2020),Issues and recommendations from the OHBM COBIDAS MEEG committee for reproducible EEG and MEG research,Pernet et al.,2020,Nature Neuroscience,M/EEG reproducibility guideline,additional pipeline/dataset/reference,https://doi.org/10.1038/s41593-020-00709-0,medium,
MEG,measurement,6,Hill_2020,Hill et al. (2020),Multi-channel whole-head OPM-MEG: Helmet design and a comparison with a conventional system,Hill et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.116995,medium,auto 2020+; verify
MEG,measurement,7,Boto_2021,Boto et al. (2021),Measuring functional connectivity with wearable MEG,Boto et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.117815,medium,auto 2020+; verify
MEG,measurement,8,Tierney_2021,Tierney et al. (2021),Modelling optically pumped magnetometer interference in MEG as a spatially homogeneous magnetic field,Tierney et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118484,medium,auto 2020+; verify
MRS,measurement,1,LCModel_2001,Provencher (2001),Automatic quantitation of localized in vivo 1H spectra with LCModel,Provencher,2001,NMR in Biomedicine,MRS quantification pipeline,primary anchor / canonical method or dataset,https://doi.org/10.1002/nbm.698,high,
MRS,measurement,2,Gannet_2014,Edden et al. (2014),Gannet: a batch-processing tool for the quantitative analysis of gamma-aminobutyric acid-edited MR spectroscopy spectra,Edden et al.,2014,Journal of Magnetic Resonance Imaging,MRS processing pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.1002/jmri.24478,high,
MRS,measurement,3,Osprey_2020,Oeltzschner et al. (2020),"Osprey: Open-source processing, reconstruction and estimation of magnetic resonance spectroscopy data",Oeltzschner et al.,2020,Magnetic Resonance in Medicine,MRS processing pipeline,"validation, caveat, or task template",https://doi.org/10.1002/mrm.28040,high,
MRS,measurement,4,BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/sdata.2016.44,high,
MRS,measurement,5,COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,additional pipeline/dataset/reference,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,medium,
MRS,measurement,6,Bell_2022,Bell et al. (2022),Harmonization of multi-site MRS data with ComBat,Bell et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119330,medium,auto 2020+; verify
MRS,measurement,7,LeaCarnall_2022,LeaCarnall et al. (2022),A mean-field model of glutamate and GABA synaptic dynamics for functional MRS,LeaCarnall et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119813,medium,auto 2020+; verify
MRS,measurement,8,Mosso_2022,Mosso et al. (2022),MP-PCA denoising for diffusion MRS data: promises and pitfalls,Mosso et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119634,medium,auto 2020+; verify
PET,measurement,1,Logan_PET_1990,Logan et al. (1990),Graphical analysis of reversible radioligand binding from time-activity measurements applied to PET data,Logan et al.,1990,Journal of Cerebral Blood Flow & Metabolism,PET kinetic modeling,primary anchor / canonical method or dataset,https://doi.org/10.1038/jcbfm.1990.127,medium,
PET,measurement,2,Lammertsma_SRTM_1996,Lammertsma & Hume (1996),Simplified reference tissue model for PET receptor studies,Lammertsma & Hume,1996,NeuroImage,PET kinetic modeling,"pipeline, benchmark, or second anchor",https://doi.org/10.1006/nimg.1996.0066,medium,
PET,measurement,3,NeuroVault_2015,Gorgolewski et al. (2015),NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain,Gorgolewski et al.,2015,Frontiers in Neuroinformatics,data repository / statistical maps,"validation, caveat, or task template",https://doi.org/10.3389/fninf.2015.00008,high,
PET,measurement,4,BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/sdata.2016.44,high,
PET,measurement,5,COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,additional pipeline/dataset/reference,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,medium,
PET,measurement,6,Karjalainen_2020,Karjalainen et al. (2020),Magia: Robust Automated Image Processing and Kinetic Modeling Toolbox for PET Neuroinformatics,Karjalainen et al.,2020,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2020.00003,medium,auto 2020+; verify
PET,measurement,7,LpezGonzlez_2020,LpezGonzlez et al. (2020),Intensity normalization methods in brain FDG-PET quantification,LpezGonzlez et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117229,medium,auto 2020+; verify
PET,measurement,8,Ladefoged_2020,Ladefoged et al. (2020),AI-driven attenuation correction for brain PET/MRI: Clinical evaluation of a dementia cohort and importance of the training group size,Ladefoged et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117221,medium,auto 2020+; verify
abcd study,inference,1,Casey_ABCD_2018,Casey et al. (2018),The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites,Casey et al.,2018,Developmental Cognitive Neuroscience,dataset / cohort acquisition,primary anchor / canonical method or dataset,https://doi.org/10.1016/j.dcn.2018.03.001,high,
abcd study,inference,2,Hagler_ABCD_2019,Hagler et al. (2019),Image processing and analysis methods for the Adolescent Brain Cognitive Development Study,Hagler et al.,2019,NeuroImage,dataset processing pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.neuroimage.2019.116091,high,
abcd study,inference,3,Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,"validation, caveat, or task template",https://doi.org/10.1038/nn.4179,high,
abcd study,inference,4,Dosenbach_Maturity_2010,Dosenbach et al. (2010),Prediction of individual brain maturity using fMRI,Dosenbach et al.,2010,Science,predictive modeling / development,robustness / evaluation / cross-topic bridge,https://doi.org/10.1126/science.1194144,high,
abcd study,inference,5,Marek_BWAS_2022,Marek et al. (2022),Reproducible brain-wide association studies require thousands of individuals,Marek et al.,2022,Nature,sample size / BWAS,additional pipeline/dataset/reference,https://doi.org/10.1038/s41586-022-04492-9,medium,
abcd study,inference,6,Ide_2020,Ide et al. (2020),Gray matter volumetric correlates of behavioral activation and inhibition system traits in children: An exploratory voxel-based morphometry study of the ABCD project data,Ide et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117085,medium,auto 2020+; verify
abcd study,inference,7,Rapuano_2022,Rapuano et al. (2022),An open-access accelerated adult equivalent of the ABCD Study neuroimaging dataset (a-ABCD),Rapuano et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119215,medium,auto 2020+; verify
abcd study,inference,8,Byrd_2021,Byrd et al. (2021),Neural response to monetary loss among youth with disruptive behavior disorders and callous-unemotional traits in the ABCD study,Byrd et al.,2021,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2021.102810,medium,auto 2020+; verify
adhd,phenotype,1,ADHD200_2012,ADHD-200 Consortium (2012),The ADHD-200 Consortium: a model to advance the translational potential of neuroimaging in clinical neuroscience,ADHD-200 Consortium,2012,Frontiers in Systems Neuroscience,dataset / ADHD,primary anchor / canonical method or dataset,https://doi.org/10.3389/fnsys.2012.00062,medium,
adhd,phenotype,2,Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/nn.4179,high,
adhd,phenotype,3,Casey_ABCD_2018,Casey et al. (2018),The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites,Casey et al.,2018,Developmental Cognitive Neuroscience,dataset / cohort acquisition,"validation, caveat, or task template",https://doi.org/10.1016/j.dcn.2018.03.001,high,
adhd,phenotype,4,Shen_CPM_2017,Shen et al. (2017),Using connectome-based predictive modeling to predict individual behavior from brain connectivity,Shen et al.,2017,Nature Protocols,predictive modeling protocol,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/nprot.2016.178,high,
adhd,phenotype,5,Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2019.02.062,medium,
adhd,phenotype,6,Luo_2020,Luo et al. (2020),Multimodal neuroimaging-based prediction of adult outcomes in childhood-onset ADHD using ensemble learning techniques,Luo et al.,2020,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2020.102238,medium,auto 2020+; verify
adhd,phenotype,7,Alyagon_2020,Alyagon et al. (2020),Alleviation of ADHD symptoms by non-invasive right prefrontal stimulation is correlated with EEG activity,Alyagon et al.,2020,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2020.102206,medium,auto 2020+; verify
aging,phenotype,1,Bethlehem_BrainCharts_2022,Bethlehem et al. (2022),Brain charts for the human lifespan,Bethlehem et al.,2022,Nature,normative lifespan modeling,primary anchor / canonical method or dataset,https://doi.org/10.1038/s41586-022-04554-y,high,
aging,phenotype,2,Cole_BrainAge_2017,Cole & Franke (2017),Predicting age using neuroimaging: innovative brain ageing biomarkers,Cole & Franke,2017,Trends in Neurosciences,brain age / biomarker,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.tins.2017.10.001,high,
aging,phenotype,3,Miller_UKB_2016,Miller et al. (2016),Multimodal population brain imaging in the UK Biobank prospective epidemiological study,Miller et al.,2016,Nature Neuroscience,dataset / cohort pipeline,"validation, caveat, or task template",https://doi.org/10.1038/nn.4393,high,
aging,phenotype,4,Alfaro_UKB_QC_2018,Alfaro-Almagro et al. (2018),"Image processing and Quality Control for the first 10,000 brain imaging datasets from UK Biobank",Alfaro-Almagro et al.,2018,NeuroImage,dataset processing / QC pipeline,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2017.10.034,high,
aging,phenotype,5,Fischl_FreeSurfer_2012,Fischl (2012),FreeSurfer,Fischl,2012,NeuroImage,software suite / anatomical pipeline,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2012.01.021,medium,
aging,phenotype,6,Frangou_2021,Frangou et al. (2021),"Cortical thickness across the lifespan: Data from 17,075 healthy individuals aged 3–90 years",Frangou et al.,2021,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25364,medium,auto 2020+; verify
alzheimer disease,phenotype,1,Jack_AD_2010,Jack et al. (2010),Hypothetical model of dynamic biomarkers of the Alzheimer's pathological cascade,Jack et al.,2010,Lancet Neurology,disease biomarker model,primary anchor / canonical method or dataset,https://doi.org/10.1016/S1474-4422(09)70299-6,high,
