paper_key,short_citation,title,authors,year,venue,paper_type,source_or_lookup_url,source_confidence,notes
Alsop_ASL_2015,Alsop et al. (2015),Recommended implementation of arterial spin-labeled perfusion MRI for clinical applications,Alsop et al.,2015,Magnetic Resonance in Medicine,ASL consensus / pipeline,https://doi.org/10.1002/mrm.25197,high,
ASLPrep_2022,Adebimpe et al. (2022),ASLPrep: a platform for processing arterial spin labeled MRI and quantification of regional brain perfusion,Adebimpe et al.,2022,Nature Methods,ASL preprocessing pipeline,https://doi.org/10.1038/s41592-022-01458-7,high,
Tournier_CSD_2007,Tournier et al. (2007),Robust determination of the fibre orientation distribution in diffusion MRI: non-negativity constrained super-resolved spherical deconvolution,Tournier et al.,2007,NeuroImage,CSD / tractography,https://doi.org/10.1016/j.neuroimage.2007.02.016,medium,
Johnson_ComBat_2007,Johnson et al. (2007),Adjusting batch effects in microarray expression data using empirical Bayes methods,Johnson et al.,2007,Biostatistics,ComBat / batch effects,https://doi.org/10.1093/biostatistics/kxj037,high,
EEGLAB_2004,Delorme & Makeig (2004),EEGLAB: an open source toolbox for analysis of single-trial EEG dynamics,Delorme & Makeig,2004,Journal of Neuroscience Methods,EEG pipeline / toolbox,https://doi.org/10.1016/j.jneumeth.2003.10.009,high,
PREP_2015,Bigdely-Shamlo et al. (2015),The PREP pipeline: standardized preprocessing for large-scale EEG analysis,Bigdely-Shamlo et al.,2015,Frontiers in Neuroinformatics,EEG preprocessing pipeline,https://doi.org/10.3389/fninf.2015.00016,high,
Hibar_Bipolar_ENIGMA_2016,Hibar et al. (2016),Subcortical volumetric abnormalities in bipolar disorder,Hibar et al.,2016,Molecular Psychiatry,ENIGMA / bipolar disorder,https://doi.org/10.1038/mp.2015.227,medium,
vanErp_SCZ_ENIGMA_2016,van Erp et al. (2016),Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,van Erp et al.,2016,Molecular Psychiatry,ENIGMA / schizophrenia,https://doi.org/10.1038/mp.2015.63,medium,
MurphyFox_GSR_2017,Murphy & Fox (2017),Towards a consensus regarding global signal regression for resting state functional connectivity MRI,Murphy & Fox,2017,NeuroImage,GSR / denoising debate,https://doi.org/10.1016/j.neuroimage.2016.11.052,high,
Beckmann_PICA_2004,Beckmann & Smith (2004),Probabilistic independent component analysis for functional magnetic resonance imaging,Beckmann & Smith,2004,IEEE Transactions on Medical Imaging,ICA / fMRI decomposition,https://doi.org/10.1109/TMI.2004.830127,high,
